chrom	chromStart	chromEnd	name	extreme_value_region_status	mappings_in_region	hyperparameter
9	22124.5	138163772.5	consensus independent component 7_Renal cancer	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 54_HCC	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 19_Ovarian cancer	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 105_Lymphoma	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 77_Multiple myeloma	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 87_Adrenal cancer	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 35_Myelodysplastic syndrome	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 133_Brain cancer	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 6_Melanoma	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
9	22124.5	138163772.5	consensus independent component 38_HNSCC	0	752	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 41_Gastric cancer	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	51894912.5	consensus independent component 93_Sarcoma	0	789	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	53824044.5	53824044.5	consensus independent component 93_Sarcoma	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	54927365	83087750.25	consensus independent component 93_Sarcoma	0	353	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 53_Prostate cancer	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 7_Renal cancer	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 54_HCC	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	13547980	consensus independent component 19_Ovarian cancer	0	239	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	14139090	14325234.25	consensus independent component 19_Ovarian cancer	-1	3	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	15247381.3	83087750.25	consensus independent component 19_Ovarian cancer	0	901	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 105_Lymphoma	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 77_Multiple myeloma	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	70174788	consensus independent component 87_Adrenal cancer	0	932	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	71149976	71149976	consensus independent component 87_Adrenal cancer	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	72082906.5	83087750.25	consensus independent component 87_Adrenal cancer	0	210	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	70174788	consensus independent component 35_Myelodysplastic syndrome	0	932	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	71149976	71149976	consensus independent component 35_Myelodysplastic syndrome	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	72082906.5	83087750.25	consensus independent component 35_Myelodysplastic syndrome	0	210	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 133_Brain cancer	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	33368992	consensus independent component 6_Melanoma	0	401	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	33531773	33531773	consensus independent component 6_Melanoma	-1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	34256242.5	83087750.25	consensus independent component 6_Melanoma	0	741	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
17	162219	83087750.25	consensus independent component 38_HNSCC	0	1143	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 41_Gastric cancer	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 93_Sarcoma	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	143884660	consensus independent component 53_Prostate cancer	0	607	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	145822714.8	145822714.8	consensus independent component 53_Prostate cancer	-1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	147931538.5	155551864.3	consensus independent component 53_Prostate cancer	0	90	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 7_Renal cancer	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 54_HCC	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 19_Ovarian cancer	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 105_Lymphoma	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 77_Multiple myeloma	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 87_Adrenal cancer	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	88751004	consensus independent component 35_Myelodysplastic syndrome	0	377	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	91436711	91436711	consensus independent component 35_Myelodysplastic syndrome	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	93672304	143884660	consensus independent component 35_Myelodysplastic syndrome	0	229	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	145822714.8	145822714.8	consensus independent component 35_Myelodysplastic syndrome	-1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	147931538.5	155551864.3	consensus independent component 35_Myelodysplastic syndrome	0	90	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 133_Brain cancer	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	155551864.3	consensus independent component 6_Melanoma	0	698	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	2784276	88751004	consensus independent component 38_HNSCC	0	377	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	91436711	91436711	consensus independent component 38_HNSCC	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
23	93672304	155551864.3	consensus independent component 38_HNSCC	0	320	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	18660538	consensus independent component 41_Gastric cancer	0	19	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	20772848.5	22107572	consensus independent component 41_Gastric cancer	1	6	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	23372969	46648634.75	consensus independent component 41_Gastric cancer	0	194	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	16437537.45	consensus independent component 93_Sarcoma	0	11	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	17444037	18336450	consensus independent component 93_Sarcoma	1	7	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	18660538	46648634.75	consensus independent component 93_Sarcoma	0	201	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 53_Prostate cancer	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 7_Renal cancer	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 54_HCC	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 19_Ovarian cancer	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 105_Lymphoma	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 77_Multiple myeloma	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	18660538	consensus independent component 87_Adrenal cancer	0	19	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	20772848.5	22107572	consensus independent component 87_Adrenal cancer	1	6	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	23372969	46648634.75	consensus independent component 87_Adrenal cancer	0	194	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 35_Myelodysplastic syndrome	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 133_Brain cancer	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 6_Melanoma	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
21	9801454.5	46648634.75	consensus independent component 38_HNSCC	0	219	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 41_Gastric cancer	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 93_Sarcoma	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 53_Prostate cancer	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 7_Renal cancer	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 54_HCC	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	103567088.5	consensus independent component 19_Ovarian cancer	0	922	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	105607428.5	105607428.5	consensus independent component 19_Ovarian cancer	-1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	107057970	248912692	consensus independent component 19_Ovarian cancer	0	1029	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 105_Lymphoma	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 77_Multiple myeloma	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 87_Adrenal cancer	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	78948246.5	consensus independent component 35_Myelodysplastic syndrome	0	806	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	81809394	81809394	consensus independent component 35_Myelodysplastic syndrome	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	82979723.5	248912692	consensus independent component 35_Myelodysplastic syndrome	0	1145	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 133_Brain cancer	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 6_Melanoma	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
1	628194	248912692	consensus independent component 38_HNSCC	0	1952	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	193474.5	63672695.5	consensus independent component 41_Gastric cancer	0	604	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	65229736.67	65229736.67	consensus independent component 41_Gastric cancer	-1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	68278434	170581649.9	consensus independent component 41_Gastric cancer	0	466	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	193474.5	63672695.5	consensus independent component 93_Sarcoma	0	604	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	65229736.67	65229736.67	consensus independent component 93_Sarcoma	-1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	68278434	75996891.5	consensus independent component 93_Sarcoma	0	33	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	77462434.5	77462434.5	consensus independent component 93_Sarcoma	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	78885326	170581649.9	consensus independent component 93_Sarcoma	0	432	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	193474.5	170581649.9	consensus independent component 53_Prostate cancer	0	1071	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	193474.5	63672695.5	consensus independent component 7_Renal cancer	0	604	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	65229736.67	65229736.67	consensus independent component 7_Renal cancer	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	68278434	170581649.9	consensus independent component 7_Renal cancer	0	466	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	193474.5	91659733.5	consensus independent component 54_HCC	0	701	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	93358069.33	93358069.33	consensus independent component 54_HCC	1	1	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
6	95593493	170581649.9	consensus independent component 54_HCC	0	369	interval_coverage:10 interval_coverage_CI:0.95 interval_coverage_sd_ratio:3 permutations:1000 FDR:0.05 FDR_CI:0.5 state_deciding_cutoff:0.85
